train_id,last_deep_cleaning,cleaning_duration
TM001,2025-11-08,3
TM002,2025-11-23,4
TM003,2025-11-26,5
TM004,2025-11-03,6
TM005,2025-11-02,3
TM006,2025-11-21,3
TM007,2025-10-29,5
TM008,2025-11-19,6
TM009,2025-11-15,4
TM010,2025-11-21,5
TM011,2025-11-23,5
TM012,2025-11-24,5
TM013,2025-11-07,6
TM014,2025-11-23,5
TM015,2025-11-22,4
TM016,2025-11-26,3
TM017,2025-11-10,4
TM018,2025-11-26,3
TM019,2025-11-26,5
TM020,2025-11-27,4
TM021,2025-11-08,4
TM022,2025-11-07,4
TM023,2025-11-22,3
TM024,2025-11-16,2
TM025,2025-11-04,2
