train_id,bogie_mileage,brake_pad_mileage,hvac_mileage
TM001,10986,8465,9737
TM002,5976,6284,6826
TM003,14800,12900,14900
TM004,12770,12385,11254
TM005,8000,13100,7500
TM006,13543,12649,13762
TM007,12669,13258,12973
TM008,11600,12500,11900
TM009,5594,5365,5082
TM010,9787,10131,9840
TM011,11700,10300,12000
TM012,13907,12604,13615
TM013,9744,8338,8008
TM014,6317,7568,6803
TM015,11188,11698,12265
TM016,9765,8405,10201
TM017,13408,12733,13046
TM018,6496,5548,5740
TM019,10800,10100,11100
TM020,9589,8424,8078
TM021,7534,6222,7819
TM022,13094,12503,13493
TM023,12109,11061,12175
TM024,13593,12504,13903
TM025,10524,9136,9206
