Train ID,Date,Km Travelled
R001,2025-09-22,208
R002,2025-09-22,224
R003,2025-09-22,222
R004,2025-09-22,196
R005,2025-09-22,184
R006,2025-09-22,232
R007,2025-09-22,198
R008,2025-09-22,233
R009,2025-09-22,239
R010,2025-09-22,205
R011,2025-09-22,181
R012,2025-09-22,214
R013,2025-09-22,197
R014,2025-09-22,199
R015,2025-09-22,197
R016,2025-09-22,204
R017,2025-09-22,235
R018,2025-09-22,217
R019,2025-09-22,188
R020,2025-09-22,221
R021,2025-09-22,212
R022,2025-09-22,237
R023,2025-09-22,238
R024,2025-09-22,217
R025,2025-09-22,206
